title,abstract,authors,year,source,citations,doi,keywords,type
Manejo florestal de baixo impacto,Práticas de manejo florestal sustentável reduzem danos da exploração de madeira e favorecem regeneração natural.,"Silva A., Costa B.",2020,Revista Florestal,24,10.0000/demo01,"manejo, madeira",Artigo
Certificação da produção de madeira,Certificação florestal e gestão sustentável da exploração de madeira em florestas tropicais.,"Costa B., Lima C.",2021,Revista Florestal,18,10.0000/demo02,"certificação, manejo",Artigo
Regeneração após exploração florestal,Monitoramento da regeneração natural em áreas de manejo e exploração de madeira de baixo impacto.,"Silva A., Souza D.",2022,Revista Florestal,12,10.0000/demo03,"regeneração, exploração",Artigo
Planejamento do manejo de florestas,Planejamento sustentável do corte e exploração de madeira com técnicas de manejo florestal.,"Lima C., Costa B.",2023,Ciência da Madeira,7,10.0000/demo04,"manejo, corte",Artigo
Indicadores de certificação florestal,Indicadores de manejo sustentável e certificação para exploração de madeira em unidades florestais.,Souza D.,2024,Ciência da Madeira,3,10.0000/demo05,"certificação, madeira",Revisão
Exploração e regeneração de árvores,Avaliação de práticas de exploração de madeira e regeneração natural em manejo florestal sustentável.,"Silva A., Lima C.",2025,Revista Florestal,0,10.0000/demo06,"árvores, regeneração",Artigo
Conservação de espécies ameaçadas,Proteção da biodiversidade e conservação de espécies ameaçadas em habitats florestais fragmentados.,"Oliveira E., Santos F.",2020,Ecologia Aplicada,30,10.0000/demo07,"espécies, conservação",Artigo
Restauração de habitats naturais,Restauração ecológica de habitats para proteção de espécies e conservação da diversidade biológica.,"Santos F., Pereira G.",2021,Ecologia Aplicada,22,10.0000/demo08,"restauração, habitats",Artigo
Diversidade biológica em áreas protegidas,Conservação da biodiversidade e proteção de espécies em unidades de conservação e habitats naturais.,Oliveira E.,2022,Biodiversidade Hoje,15,10.0000/demo09,"biodiversidade, proteção",Artigo
Corredores para conservação da biodiversidade,Conectividade de habitats e corredores ecológicos para proteção da biodiversidade e espécies ameaçadas.,"Pereira G., Santos F.",2023,Biodiversidade Hoje,9,10.0000/demo10,"corredores, espécies",Artigo
Monitoramento de espécies em restauração,Restauração de habitats e avaliação da diversidade biológica com monitoramento de espécies nativas.,"Oliveira E., Pereira G.",2024,Ecologia Aplicada,4,10.0000/demo11,"espécies, restauração",Artigo
Proteção de habitats e diversidade,Estratégias de conservação da biodiversidade em habitats naturais para proteção de espécies.,Santos F.,2025,Biodiversidade Hoje,,10.0000/demo12,"habitats, conservação",Revisão
Governança e participação comunitária,Políticas públicas e governança ambiental com participação comunitária em decisões territoriais.,"Almeida H., Rocha I.",2020,Política e Ambiente,19,10.0000/demo13,"governança, participação",Artigo
Instituições e políticas ambientais,Instituições públicas e legislação ambiental na governança de territórios com participação social.,"Rocha I., Ferreira J.",2021,Política e Ambiente,16,10.0000/demo14,"legislação, instituições",Artigo
Participação social em conselhos ambientais,Governança participativa e políticas públicas em conselhos com participação de comunidades locais.,Almeida H.,2022,Gestão Pública,11,10.0000/demo15,"conselhos, governança",Artigo
Conflitos territoriais e governança,Políticas públicas e instituições de governança para mediação de conflitos territoriais e participação comunitária.,"Ferreira J., Rocha I.",2023,Gestão Pública,6,10.0000/demo16,"conflitos, políticas",Artigo
Avaliação de políticas públicas ambientais,Análise da legislação e das instituições de governança ambiental com participação social.,"Almeida H., Ferreira J.",2024,Política e Ambiente,2,10.0000/demo17,"políticas, legislação",Revisão
Comunidades e decisões territoriais,Participação comunitária em políticas públicas e instituições de governança territorial.,Rocha I.,2025,Gestão Pública,0,10.0000/demo18,"comunidades, governança",Artigo
